,datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration
0,1.6911276e+18,45322.0,5774.0,5778.0,5774.0,5774.0,898.0,846161.0,846445.0,CZCE.TA401,60
1,1.69112766e+18,45323.0,5774.0,5776.0,5770.0,5772.0,808.0,846445.0,846822.0,CZCE.TA401,60
2,1.69112772e+18,45324.0,5772.0,5774.0,5770.0,5772.0,217.0,846822.0,846867.0,CZCE.TA401,60
3,1.69112778e+18,45325.0,5772.0,5774.0,5770.0,5774.0,397.0,846867.0,847048.0,CZCE.TA401,60
4,1.69112784e+18,45326.0,5774.0,5776.0,5774.0,5774.0,278.0,847048.0,847182.0,CZCE.TA401,60
5,1.6911279e+18,45327.0,5774.0,5774.0,5772.0,5774.0,499.0,847182.0,847369.0,CZCE.TA401,60
6,1.69112796e+18,45328.0,5774.0,5774.0,5768.0,5768.0,1431.0,847369.0,847475.0,CZCE.TA401,60
7,1.69112802e+18,45329.0,5768.0,5770.0,5768.0,5770.0,389.0,847475.0,847480.0,CZCE.TA401,60
8,1.69112808e+18,45330.0,5770.0,5772.0,5768.0,5770.0,1009.0,847480.0,847357.0,CZCE.TA401,60
9,1.69112814e+18,45331.0,5770.0,5774.0,5770.0,5774.0,838.0,847357.0,847901.0,CZCE.TA401,60
10,1.6911282e+18,45332.0,5774.0,5774.0,5770.0,5772.0,1674.0,847901.0,848356.0,CZCE.TA401,60
11,1.69112826e+18,45333.0,5772.0,5776.0,5770.0,5774.0,1063.0,848356.0,848429.0,CZCE.TA401,60
12,1.69112832e+18,45334.0,5774.0,5780.0,5774.0,5778.0,1122.0,848429.0,848619.0,CZCE.TA401,60
13,1.69112838e+18,45335.0,5778.0,5780.0,5776.0,5778.0,769.0,848619.0,848684.0,CZCE.TA401,60
14,1.69112844e+18,45336.0,5778.0,5778.0,5776.0,5778.0,230.0,848684.0,848757.0,CZCE.TA401,60
15,1.6911285e+18,45337.0,5778.0,5778.0,5770.0,5772.0,1651.0,848757.0,848812.0,CZCE.TA401,60
16,1.69112856e+18,45338.0,5772.0,5774.0,5770.0,5770.0,459.0,848812.0,848887.0,CZCE.TA401,60
17,1.69112862e+18,45339.0,5770.0,5776.0,5770.0,5774.0,685.0,848887.0,849040.0,CZCE.TA401,60
18,1.69112868e+18,45340.0,5774.0,5774.0,5770.0,5770.0,335.0,849040.0,849037.0,CZCE.TA401,60
19,1.69112874e+18,45341.0,5770.0,5772.0,5770.0,5772.0,454.0,849037.0,849185.0,CZCE.TA401,60
20,1.6911288e+18,45342.0,5772.0,5772.0,5770.0,5770.0,821.0,849185.0,849408.0,CZCE.TA401,60
21,1.69112886e+18,45343.0,5770.0,5772.0,5768.0,5768.0,507.0,849408.0,849346.0,CZCE.TA401,60
22,1.69112892e+18,45344.0,5768.0,5770.0,5762.0,5764.0,2372.0,849346.0,849288.0,CZCE.TA401,60
23,1.69112898e+18,45345.0,5764.0,5766.0,5762.0,5764.0,1678.0,849288.0,849625.0,CZCE.TA401,60
24,1.69112904e+18,45346.0,5764.0,5764.0,5756.0,5760.0,2977.0,849625.0,849254.0,CZCE.TA401,60
25,1.6911291e+18,45347.0,5760.0,5764.0,5758.0,5760.0,1121.0,849254.0,849073.0,CZCE.TA401,60
26,1.69112916e+18,45348.0,5760.0,5764.0,5760.0,5762.0,640.0,849073.0,849085.0,CZCE.TA401,60
27,1.69112922e+18,45349.0,5762.0,5764.0,5758.0,5760.0,609.0,849085.0,849174.0,CZCE.TA401,60
28,1.69112928e+18,45350.0,5760.0,5762.0,5758.0,5760.0,439.0,849174.0,849213.0,CZCE.TA401,60
29,1.69112934e+18,45351.0,5760.0,5764.0,5760.0,5760.0,433.0,849213.0,849283.0,CZCE.TA401,60
30,1.6911294e+18,45352.0,5760.0,5762.0,5760.0,5760.0,312.0,849283.0,849286.0,CZCE.TA401,60
31,1.69112946e+18,45353.0,5760.0,5764.0,5760.0,5762.0,774.0,849286.0,849114.0,CZCE.TA401,60
32,1.69112952e+18,45354.0,5762.0,5764.0,5762.0,5764.0,456.0,849114.0,849104.0,CZCE.TA401,60
33,1.69112958e+18,45355.0,5764.0,5766.0,5762.0,5762.0,744.0,849104.0,849183.0,CZCE.TA401,60
34,1.69112964e+18,45356.0,5762.0,5768.0,5762.0,5766.0,1467.0,849183.0,849327.0,CZCE.TA401,60
35,1.6911297e+18,45357.0,5766.0,5770.0,5766.0,5768.0,594.0,849327.0,849418.0,CZCE.TA401,60
36,1.69112976e+18,45358.0,5768.0,5770.0,5766.0,5766.0,524.0,849418.0,849363.0,CZCE.TA401,60
37,1.69112982e+18,45359.0,5766.0,5770.0,5764.0,5766.0,525.0,849363.0,849199.0,CZCE.TA401,60
38,1.69112988e+18,45360.0,5766.0,5768.0,5764.0,5768.0,331.0,849199.0,849127.0,CZCE.TA401,60
39,1.69112994e+18,45361.0,5768.0,5768.0,5762.0,5762.0,693.0,849127.0,849245.0,CZCE.TA401,60
40,1.69113e+18,45362.0,5762.0,5764.0,5760.0,5764.0,975.0,849245.0,849231.0,CZCE.TA401,60
41,1.69113006e+18,45363.0,5764.0,5764.0,5758.0,5760.0,1269.0,849231.0,849352.0,CZCE.TA401,60
42,1.69113012e+18,45364.0,5760.0,5764.0,5760.0,5762.0,424.0,849352.0,849338.0,CZCE.TA401,60
43,1.69113018e+18,45365.0,5762.0,5762.0,5756.0,5760.0,2269.0,849338.0,850187.0,CZCE.TA401,60
44,1.69113024e+18,45366.0,5760.0,5762.0,5756.0,5756.0,1012.0,850187.0,850718.0,CZCE.TA401,60
45,1.6911303e+18,45367.0,5756.0,5758.0,5754.0,5756.0,1775.0,850718.0,850389.0,CZCE.TA401,60
46,1.69113036e+18,45368.0,5756.0,5756.0,5754.0,5754.0,513.0,850389.0,850468.0,CZCE.TA401,60
47,1.69113042e+18,45369.0,5754.0,5760.0,5754.0,5758.0,1719.0,850468.0,849858.0,CZCE.TA401,60
48,1.69113048e+18,45370.0,5758.0,5760.0,5758.0,5758.0,795.0,849858.0,849790.0,CZCE.TA401,60
49,1.69113054e+18,45371.0,5758.0,5760.0,5756.0,5758.0,407.0,849790.0,849874.0,CZCE.TA401,60
50,1.6911306e+18,45372.0,5758.0,5762.0,5758.0,5758.0,624.0,849874.0,849824.0,CZCE.TA401,60
51,1.69113066e+18,45373.0,5758.0,5764.0,5756.0,5762.0,834.0,849824.0,849733.0,CZCE.TA401,60
52,1.69113072e+18,45374.0,5762.0,5766.0,5760.0,5762.0,528.0,849733.0,849723.0,CZCE.TA401,60
53,1.69113078e+18,45375.0,5762.0,5764.0,5758.0,5760.0,984.0,849723.0,849805.0,CZCE.TA401,60
54,1.69113084e+18,45376.0,5760.0,5762.0,5758.0,5760.0,551.0,849805.0,849505.0,CZCE.TA401,60
55,1.6911309e+18,45377.0,5760.0,5762.0,5760.0,5760.0,523.0,849505.0,849564.0,CZCE.TA401,60
56,1.69113096e+18,45378.0,5760.0,5764.0,5756.0,5758.0,1055.0,849564.0,849555.0,CZCE.TA401,60
57,1.69113102e+18,45379.0,5758.0,5760.0,5756.0,5760.0,358.0,849555.0,849559.0,CZCE.TA401,60
58,1.69113108e+18,45380.0,5760.0,5764.0,5758.0,5762.0,609.0,849559.0,849405.0,CZCE.TA401,60
59,1.69113114e+18,45381.0,5762.0,5764.0,5760.0,5762.0,483.0,849405.0,849473.0,CZCE.TA401,60
60,1.6911312e+18,45382.0,5762.0,5762.0,5758.0,5758.0,395.0,849473.0,849625.0,CZCE.TA401,60
61,1.69113126e+18,45383.0,5758.0,5760.0,5758.0,5758.0,668.0,849625.0,849720.0,CZCE.TA401,60
62,1.69113132e+18,45384.0,5758.0,5760.0,5758.0,5760.0,404.0,849720.0,849730.0,CZCE.TA401,60
63,1.69113138e+18,45385.0,5760.0,5764.0,5758.0,5764.0,553.0,849730.0,849628.0,CZCE.TA401,60
64,1.69113144e+18,45386.0,5764.0,5764.0,5762.0,5764.0,741.0,849628.0,849433.0,CZCE.TA401,60
65,1.6911315e+18,45387.0,5764.0,5764.0,5762.0,5762.0,849.0,849433.0,849519.0,CZCE.TA401,60
66,1.69113156e+18,45388.0,5762.0,5766.0,5762.0,5766.0,1529.0,849519.0,849491.0,CZCE.TA401,60
67,1.69113162e+18,45389.0,5766.0,5768.0,5764.0,5766.0,1130.0,849491.0,849388.0,CZCE.TA401,60
68,1.69113168e+18,45390.0,5766.0,5768.0,5764.0,5768.0,1272.0,849388.0,849513.0,CZCE.TA401,60
69,1.69113174e+18,45391.0,5768.0,5770.0,5766.0,5766.0,1510.0,849513.0,849964.0,CZCE.TA401,60
70,1.6911318e+18,45392.0,5766.0,5770.0,5766.0,5768.0,616.0,849964.0,849951.0,CZCE.TA401,60
71,1.69113186e+18,45393.0,5768.0,5770.0,5764.0,5766.0,1851.0,849951.0,850590.0,CZCE.TA401,60
72,1.69113192e+18,45394.0,5766.0,5770.0,5766.0,5768.0,1013.0,850590.0,850598.0,CZCE.TA401,60
73,1.69113198e+18,45395.0,5768.0,5770.0,5764.0,5764.0,1109.0,850598.0,850916.0,CZCE.TA401,60
74,1.69113204e+18,45396.0,5764.0,5766.0,5760.0,5766.0,985.0,850916.0,851211.0,CZCE.TA401,60
75,1.6911321e+18,45397.0,5766.0,5768.0,5762.0,5762.0,1265.0,851211.0,850889.0,CZCE.TA401,60
76,1.69113216e+18,45398.0,5762.0,5764.0,5760.0,5762.0,954.0,850889.0,850980.0,CZCE.TA401,60
77,1.69113222e+18,45399.0,5762.0,5766.0,5760.0,5764.0,1280.0,850980.0,850892.0,CZCE.TA401,60
78,1.69113228e+18,45400.0,5764.0,5768.0,5762.0,5768.0,1168.0,850892.0,850814.0,CZCE.TA401,60
79,1.69113234e+18,45401.0,5768.0,5772.0,5766.0,5772.0,2721.0,850814.0,849357.0,CZCE.TA401,60
